1788–89,George Washington,Ind.,69/69,100%,100%,100%,"43,782","43,782",No candidate[a],,11.60%
1792,,Ind.,132/132,,,,"28,579","28,579",,,6.30%
1796,John Adams,Fed.,71/138,51.45%,53.45%,6.90%,"35,726","4,611",Thomas Jefferson,D-R[b],20.10%
1800,Thomas Jefferson,D-R,73/138,52.90%,61.43%,22.86%,"41,330","15,378",Aaron Burr,D-R[c],32.30%
1804,Thomas Jefferson,D-R,162/176,92.05%,72.79%,45.58%,"104,110","65,191",Charles C. Pinckney,Fed.,23.80%
1808,James Madison,D-R,122/175,69.72%,64.74%,32.33%,"124,732","62,301",,Fed.,36.80%
1812,,D-R,128/217,58.99%,50.37%,2.74%,"140,431","7,650",DeWitt Clinton,D-R[d],40.40%
1816,James Monroe,D-R,183/217,84.33%,68.16%,37.24%,"76,592","41,852",Rufus King,Fed.,23.50%
1820,,D-R,231/232,99.57%,80.61%,64.69%,"87,343","69,878",John Quincy Adams,D-R[e],10.10%
1824,John Quincy Adams,D-R,84/261,32.18%,30.92%,−10.44%,"113,142","−38,221",Andrew Jackson,D-R[f],26.90%
1828,Andrew Jackson,Dem.,178/261,68.20%,55.93%,12.25%,"642,806","140,839",John Quincy Adams,NR,57.30%
1832,,Dem.,219/286,76.57%,54.74%,17.81%,"702,735","228,628",Henry Clay,NR,57.00%
1836,Martin Van Buren,Dem.,170/294,57.82%,50.79%,14.20%,"763,291","213,384",William Henry Harrison,Whig,56.50%
1840,William Henry Harrison,Whig,234/294,79.59%,52.87%,6.05%,"1,275,583","145,938",Martin Van Buren,Dem.,80.30%
1844,James K. Polk,Dem.,170/275,61.82%,49.54%,1.45%,"1,339,570","39,413",Henry Clay,Whig,79.20%
1848,Zachary Taylor,Whig,163/290,56.21%,47.28%,4.79%,"1,360,235","137,882",Lewis Cass,Dem.,72.80%
1852,Franklin Pierce,Dem.,254/296,85.81%,50.83%,6.95%,"1,605,943","219,525",Winfield Scott,Whig,69.50%
1856,James Buchanan,Dem.,174/296,58.78%,45.29%,12.20%,"1,835,140","494,472",John C. Frémont,Rep.,79.40%
1860,Abraham Lincoln,Rep.,180/303,59.41%,39.65%,10.13%,"1,855,993","474,049",John C. Breckinridge,Dem.[g],81.80%
1864,Abraham Lincoln,Rep.,212/233,90.99%,55.03%,10.08%,"2,211,317","405,090",George B. McClellan,Dem.,76.30%
1868,Ulysses S. Grant,Rep.,214/294,72.79%,52.66%,5.32%,"3,013,790","304,810",Horatio Seymour,Dem.,80.90%
1872,,Rep.,286/352,81.25%,55.58%,11.80%,"3,597,439","763,729",Thomas A. Hendricks,Dem.[h],72.10%
1876,Rutherford B. Hayes,Rep.,185/369,50.14%,47.92%,−3.00%,"4,034,142","−252,666",Samuel J. Tilden,Dem.,82.60%
1880,James A. Garfield,Rep.,214/369,57.99%,48.31%,0.09%,"4,453,337","1,898",Winfield Scott Hancock,Dem.,80.50%
1884,Grover Cleveland,Dem.,219/401,54.61%,48.85%,0.57%,"4,914,482","57,579",James G. Blaine,Rep.,78.20%
1888,Benjamin Harrison,Rep.,233/401,58.10%,47.80%,−0.83%,"5,443,892","−90,596",Grover Cleveland,Dem.,80.50%
1892,Grover Cleveland,Dem.,277/444,62.39%,46.02%,3.01%,"5,553,898","363,099",Benjamin Harrison,Rep.,75.80%
1896,William McKinley,Rep.,271/447,60.63%,51.02%,4.31%,"7,112,138","601,331",William Jennings Bryan,Dem.,79.60%
1900,,Rep.,292/447,65.23%,51.64%,6.12%,"7,228,864","857,932",,Dem.,73.70%
1904,Theodore Roosevelt,Rep.,336/476,70.59%,56.42%,18.83%,"7,630,557","2,546,677",Alton Brooks Parker,Dem.,65.50%
1908,William Howard Taft,Rep.,321/483,66.46%,51.57%,8.53%,"7,678,335","1,269,356",William Jennings Bryan,Dem.,65.70%
1912,Woodrow Wilson,Dem.,435/531,81.92%,41.84%,14.44%,"6,296,284","2,173,563",Theodore Roosevelt,Prog.,59.00%
1916,,Dem.,277/531,52.17%,49.24%,3.12%,"9,126,868","578,140",Charles Evans Hughes,Rep.,61.80%
1920,Warren G. Harding,Rep.,404/531,76.08%,60.32%,26.17%,"16,144,093","7,004,432",James M. Cox,Dem.,49.20%
1924,Calvin Coolidge,Rep.,382/531,71.94%,54.04%,25.22%,"15,723,789","7,337,547",John W. Davis,Dem.,48.90%
1928,Herbert Hoover,Rep.,444/531,83.62%,58.21%,17.41%,"21,427,123","6,411,659",Al Smith,Dem.,56.90%
1932,Franklin D. Roosevelt,Dem.,472/531,88.89%,57.41%,17.76%,"22,821,277","7,060,023",Herbert Hoover,Rep.,56.90%
